0,1,2,3,4,5,6,7,8,9
80.0,62.0,54.0,68.0,40.0,64.0,36.0,42.0,72.0,42.0
62.0,50.0,82.0,62.0,50.0,76.0,54.0,44.0,54.0,74.0
46.0,40.0,52.0,38.0,50.0,40.0,38.0,52.0,48.0,42.0
40.0,34.0,58.0,44.0,36.0,50.0,44.0,40.0,40.0,34.0
68.0,52.0,64.0,50.0,48.0,72.0,42.0,46.0,48.0,52.0
64.0,44.0,70.0,48.0,62.0,82.0,56.0,54.0,64.0,34.0
88.0,50.0,78.0,76.0,70.0,66.0,70.0,68.0,48.0,32.0
76.0,40.0,64.0,46.0,68.0,66.0,44.0,58.0,42.0,60.0
78.0,38.0,50.0,54.0,42.0,58.0,62.0,54.0,44.0,38.0
62.0,44.0,78.0,36.0,48.0,54.0,56.0,68.0,68.0,64.0
76.0,66.0,78.0,64.0,52.0,74.0,40.0,64.0,68.0,54.0
64.0,40.0,60.0,60.0,58.0,66.0,44.0,42.0,72.0,38.0
68.0,62.0,56.0,64.0,68.0,68.0,44.0,56.0,40.0,56.0
76.0,64.0,70.0,70.0,54.0,68.0,56.0,48.0,54.0,48.0
52.0,42.0,66.0,44.0,44.0,60.0,56.0,48.0,42.0,46.0
84.0,68.0,96.0,46.0,64.0,72.0,68.0,74.0,56.0,58.0
78.0,78.0,106.0,44.0,88.0,98.0,98.0,60.0,64.0,80.0
78.0,54.0,78.0,56.0,66.0,64.0,52.0,68.0,60.0,56.0
80.0,68.0,74.0,64.0,76.0,74.0,62.0,64.0,48.0,42.0
72.0,48.0,98.0,78.0,54.0,84.0,64.0,82.0,54.0,72.0
94.0,64.0,74.0,54.0,76.0,108.0,62.0,80.0,56.0,82.0
98.0,70.0,70.0,54.0,72.0,84.0,80.0,68.0,82.0,60.0
70.0,72.0,98.0,68.0,54.0,88.0,82.0,56.0,58.0,60.0
102.0,64.0,96.0,88.0,60.0,72.0,60.0,78.0,76.0,72.0
78.0,76.0,86.0,78.0,82.0,90.0,56.0,46.0,88.0,60.0
94.0,62.0,82.0,58.0,78.0,74.0,62.0,82.0,66.0,88.0
116.0,70.0,102.0,84.0,76.0,94.0,98.0,78.0,66.0,98.0
86.0,76.0,68.0,84.0,68.0,86.0,68.0,64.0,64.0,58.0
66.0,80.0,82.0,66.0,62.0,62.0,80.0,68.0,48.0,56.0
76.0,74.0,72.0,72.0,66.0,86.0,74.0,78.0,88.0,56.0
62.0,60.0,76.0,70.0,60.0,72.0,74.0,86.0,76.0,56.0
66.0,80.0,72.0,54.0,62.0,70.0,44.0,58.0,54.0,62.0
84.0,80.0,80.0,74.0,76.0,90.0,60.0,50.0,62.0,52.0
74.0,84.0,90.0,70.0,72.0,60.0,70.0,70.0,68.0,76.0
98.0,102.0,78.0,90.0,84.0,90.0,60.0,90.0,72.0,50.0
80.0,42.0,92.0,58.0,54.0,94.0,74.0,64.0,68.0,72.0
92.0,88.0,92.0,64.0,74.0,106.0,96.0,74.0,64.0,56.0
88.0,62.0,78.0,66.0,56.0,80.0,74.0,56.0,78.0,72.0
94.0,68.0,112.0,74.0,66.0,98.0,104.0,84.0,76.0,96.0
68.0,70.0,86.0,72.0,88.0,92.0,74.0,76.0,80.0,60.0
100.0,82.0,78.0,82.0,86.0,92.0,56.0,76.0,74.0,94.0
94.0,62.0,106.0,88.0,94.0,86.0,88.0,78.0,54.0,88.0
124.0,92.0,122.0,100.0,110.0,126.0,90.0,106.0,80.0,98.0
114.0,82.0,98.0,90.0,80.0,102.0,90.0,84.0,96.0,80.0
100.0,66.0,62.0,86.0,46.0,80.0,44.0,68.0,76.0,74.0
112.0,102.0,126.0,96.0,98.0,132.0,76.0,92.0,90.0,100.0
110.0,90.0,120.0,98.0,94.0,114.0,92.0,90.0,80.0,110.0
114.0,72.0,126.0,108.0,78.0,104.0,78.0,90.0,106.0,92.0
100.0,60.0,100.0,70.0,74.0,98.0,76.0,86.0,76.0,90.0
100.0,86.0,72.0,70.0,86.0,94.0,86.0,54.0,86.0,78.0
72.0,90.0,92.0,98.0,70.0,94.0,76.0,90.0,90.0,78.0
88.0,98.0,92.0,98.0,86.0,80.0,98.0,70.0,84.0,96.0
106.0,102.0,110.0,70.0,54.0,98.0,98.0,86.0,92.0,90.0
100.0,98.0,118.0,92.0,88.0,114.0,106.0,88.0,92.0,98.0
90.0,78.0,78.0,78.0,98.0,90.0,92.0,58.0,70.0,92.0
130.0,102.0,130.0,122.0,90.0,126.0,92.0,82.0,96.0,120.0
84.0,68.0,88.0,94.0,78.0,80.0,58.0,76.0,62.0,90.0
78.0,68.0,84.0,96.0,68.0,90.0,80.0,88.0,94.0,88.0
110.0,88.0,96.0,90.0,80.0,94.0,94.0,102.0,72.0,82.0
106.0,82.0,92.0,100.0,80.0,98.0,98.0,98.0,94.0,94.0
92.0,94.0,114.0,82.0,98.0,116.0,80.0,90.0,102.0,90.0
124.0,96.0,102.0,92.0,106.0,120.0,114.0,104.0,96.0,102.0
104.0,78.0,110.0,90.0,92.0,102.0,86.0,92.0,108.0,112.0
100.0,106.0,110.0,106.0,102.0,106.0,104.0,88.0,100.0,104.0
102.0,102.0,100.0,80.0,96.0,104.0,108.0,96.0,106.0,104.0
108.0,96.0,116.0,96.0,96.0,100.0,112.0,106.0,80.0,100.0
122.0,108.0,124.0,112.0,96.0,134.0,106.0,108.0,110.0,104.0
112.0,118.0,122.0,102.0,86.0,118.0,122.0,102.0,122.0,80.0
120.0,102.0,128.0,88.0,94.0,116.0,110.0,90.0,128.0,98.0
102.0,82.0,82.0,92.0,98.0,116.0,90.0,104.0,90.0,96.0
132.0,110.0,126.0,102.0,104.0,120.0,110.0,84.0,96.0,120.0
114.0,90.0,128.0,114.0,116.0,116.0,110.0,98.0,110.0,112.0
118.0,106.0,114.0,104.0,88.0,124.0,102.0,114.0,100.0,98.0
138.0,116.0,110.0,100.0,100.0,124.0,126.0,104.0,102.0,116.0
130.0,120.0,104.0,106.0,116.0,126.0,100.0,90.0,128.0,102.0
112.0,116.0,118.0,104.0,104.0,116.0,110.0,116.0,96.0,116.0
122.0,104.0,122.0,114.0,90.0,108.0,100.0,120.0,110.0,104.0
96.0,100.0,96.0,92.0,80.0,68.0,96.0,76.0,80.0,78.0
106.0,88.0,110.0,100.0,86.0,108.0,102.0,94.0,112.0,90.0
120.0,114.0,108.0,114.0,104.0,112.0,96.0,114.0,98.0,112.0
108.0,100.0,116.0,110.0,108.0,114.0,90.0,84.0,118.0,122.0
130.0,112.0,118.0,106.0,112.0,128.0,108.0,112.0,120.0,104.0
128.0,122.0,106.0,110.0,100.0,106.0,94.0,122.0,96.0,102.0
118.0,98.0,118.0,112.0,114.0,110.0,106.0,100.0,100.0,100.0
152.0,110.0,140.0,132.0,128.0,126.0,138.0,116.0,118.0,90.0
134.0,114.0,136.0,124.0,100.0,126.0,110.0,108.0,124.0,116.0
130.0,128.0,96.0,102.0,96.0,124.0,102.0,116.0,108.0,106.0
116.0,108.0,130.0,114.0,104.0,128.0,112.0,116.0,112.0,118.0
150.0,108.0,130.0,122.0,100.0,140.0,128.0,140.0,108.0,114.0
118.0,110.0,132.0,112.0,126.0,140.0,114.0,120.0,118.0,92.0
112.0,116.0,122.0,94.0,114.0,132.0,128.0,124.0,104.0,104.0
124.0,120.0,122.0,94.0,92.0,122.0,118.0,122.0,98.0,106.0
134.0,118.0,140.0,144.0,94.0,122.0,126.0,116.0,124.0,128.0
156.0,122.0,146.0,146.0,138.0,136.0,110.0,130.0,102.0,152.0
128.0,134.0,130.0,94.0,128.0,124.0,128.0,126.0,108.0,98.0
150.0,134.0,146.0,126.0,112.0,138.0,122.0,130.0,124.0,124.0
134.0,132.0,120.0,120.0,130.0,136.0,94.0,130.0,126.0,98.0
132.0,126.0,144.0,108.0,114.0,134.0,120.0,128.0,118.0,108.0
120.0,118.0,128.0,104.0,114.0,108.0,100.0,114.0,112.0,108.0
144.0,140.0,136.0,120.0,112.0,118.0,122.0,138.0,128.0,140.0
